Date,Category,Description,Amount,Type
2024-01-02,Rent,New clothes,3450,Expense
2024-01-02,Groceries,New clothes,1855,Expense
2024-01-02,Utilities,Bus fare,1661,Expense
2024-01-02,Transport,Movie,4471,Expense
2024-01-02,Utilities,Bus fare,2011,Expense
2024-01-02,Shopping,New clothes,1174,Expense
2024-01-02,Shopping,Online course,950,Expense
2024-01-02,Transport,Monthly bill,4255,Expense
2024-01-02,Education,Doctor visit,763,Income
2024-01-02,Utilities,Insurance premium,3087,Expense
2024-01-02,Entertainment,Bus fare,2897,Expense
2024-01-02,Utilities,Insurance premium,3965,Income
2024-01-02,Education,Snacks,2758,Expense
2024-01-02,Utilities,Insurance premium,1717,Expense
2024-01-02,Groceries,Maintenance,1041,Expense
2024-01-02,Miscellaneous,Bus fare,4037,Income
2024-01-02,Rent,Monthly bill,1188,Expense
2024-01-02,Healthcare,Snacks,641,Expense
2024-01-02,Miscellaneous,Maintenance,1939,Expense
2024-01-02,Insurance,Monthly bill,861,Expense
2024-01-02,Rent,Movie,3669,Expense
2024-01-03,Groceries,New clothes,3011,Expense
2024-01-03,Rent,New clothes,2054,Income
2024-01-03,Miscellaneous,Movie,4439,Income
2024-01-03,Rent,Online course,3686,Expense
2024-01-03,Miscellaneous,Maintenance,472,Expense
2024-01-03,Utilities,Snacks,1851,Expense
2024-01-03,Healthcare,Bought items,1954,Expense
2024-01-03,Education,New clothes,3827,Expense
2024-01-03,Miscellaneous,New clothes,200,Expense
2024-01-03,Miscellaneous,Movie,4844,Expense
2024-01-03,Entertainment,Bought items,4810,Expense
2024-01-03,Rent,Bought items,1045,Expense
2024-01-03,Insurance,Snacks,2292,Expense
2024-01-03,Miscellaneous,New clothes,2864,Expense
2024-01-03,Rent,Monthly bill,2365,Expense
2024-01-03,Rent,Bus fare,667,Expense
2024-01-03,Shopping,Insurance premium,2957,Income
2024-01-03,Shopping,Snacks,2431,Expense
2024-01-03,Insurance,Maintenance,4786,Expense
2024-01-03,Groceries,Maintenance,4220,Expense
2024-01-03,Shopping,Snacks,3968,Expense
2024-01-03,Healthcare,Bought items,441,Expense
2024-01-03,Insurance,Insurance premium,4173,Income
2024-01-03,Miscellaneous,Online course,1332,Expense
2024-01-03,Shopping,Insurance premium,3841,Expense
2024-01-03,Healthcare,Doctor visit,3578,Income
2024-01-03,Entertainment,Bus fare,4277,Expense
2024-01-03,Education,Doctor visit,2083,Income
2024-01-03,Transport,Maintenance,4593,Expense
2024-01-03,Entertainment,Bought items,1373,Expense
2024-01-03,Entertainment,Bus fare,4418,Expense
2024-01-03,Utilities,Maintenance,4075,Expense
2024-01-03,Utilities,Movie,1812,Expense
2024-01-03,Shopping,Snacks,4388,Expense
2024-01-03,Rent,Monthly bill,3107,Expense
2024-01-03,Miscellaneous,Bus fare,3849,Expense
2024-01-03,Transport,Online course,4845,Expense
2024-01-03,Miscellaneous,Bought items,2838,Expense
2024-01-03,Education,Insurance premium,3053,Expense
2024-01-03,Utilities,Online course,3314,Income
2024-01-03,Miscellaneous,Snacks,1513,Expense
2024-01-03,Shopping,Online course,3432,Expense
2024-01-03,Education,Doctor visit,3499,Expense
2024-01-03,Insurance,Online course,4893,Expense
2024-01-03,Insurance,Snacks,3652,Expense
2024-01-03,Entertainment,Snacks,4300,Expense
2024-01-03,Healthcare,Movie,1637,Expense
2024-01-03,Shopping,Maintenance,1399,Expense
2024-01-03,Shopping,Movie,1230,Expense
2024-01-03,Shopping,Monthly bill,3407,Expense
2024-01-03,Insurance,Online course,3406,Expense
2024-01-03,Miscellaneous,Movie,957,Expense
2024-01-03,Miscellaneous,Bought items,1651,Expense
2024-01-03,Education,Doctor visit,339,Expense
2024-01-03,Miscellaneous,Maintenance,1780,Expense
2024-01-03,Rent,Online course,1565,Expense
2024-01-03,Education,Bought items,376,Expense
2024-01-03,Utilities,Monthly bill,4166,Expense
2024-01-04,Transport,Movie,1396,Expense
2024-01-04,Healthcare,Monthly bill,2059,Expense
2024-01-04,Healthcare,Maintenance,4402,Expense
2024-01-04,Transport,Snacks,2826,Expense
2024-01-04,Utilities,Snacks,4413,Expense
2024-01-04,Utilities,Online course,1386,Expense
2024-01-04,Education,Snacks,3381,Expense
2024-01-04,Transport,Maintenance,768,Expense
2024-01-04,Utilities,Bought items,1623,Income
2024-01-04,Groceries,Insurance premium,185,Expense
2024-01-04,Groceries,Monthly bill,4421,Expense
2024-01-04,Utilities,New clothes,4715,Expense
2024-01-04,Insurance,Maintenance,3244,Income
2024-01-04,Entertainment,Doctor visit,3129,Expense
2024-01-04,Miscellaneous,Snacks,4912,Income
2024-01-04,Transport,Snacks,1584,Expense
2024-01-04,Utilities,Bought items,2528,Expense
2024-01-04,Transport,Snacks,2794,Expense
2024-01-04,Healthcare,Online course,619,Expense
2024-01-04,Entertainment,Insurance premium,1490,Expense
2024-01-04,Groceries,New clothes,4670,Expense
2024-01-04,Healthcare,Insurance premium,3257,Income
2024-01-04,Entertainment,Maintenance,3051,Expense
2024-01-04,Miscellaneous,Monthly bill,3239,Income
2024-01-04,Utilities,Online course,3044,Expense
2024-01-04,Groceries,Bought items,3607,Expense
2024-01-04,Miscellaneous,Doctor visit,3562,Expense
2024-01-04,Insurance,New clothes,1053,Expense
2024-01-04,Education,Monthly bill,4449,Expense
2024-01-04,Shopping,Monthly bill,3155,Expense
2024-01-04,Entertainment,Online course,3842,Income
2024-01-04,Groceries,New clothes,3545,Expense
2024-01-04,Utilities,Doctor visit,4827,Expense
2024-01-04,Utilities,Monthly bill,1453,Expense
2024-01-04,Education,Insurance premium,4941,Expense
2024-01-04,Utilities,Online course,3920,Expense
2024-01-04,Transport,Insurance premium,4026,Expense
2024-01-04,Transport,Snacks,3142,Expense
2024-01-04,Insurance,Bought items,4440,Expense
2024-01-04,Entertainment,Bus fare,2265,Expense
2024-01-04,Groceries,New clothes,1022,Income
2024-01-04,Healthcare,Insurance premium,2701,Income
2024-01-04,Healthcare,Doctor visit,2837,Expense
2024-01-04,Rent,Movie,822,Expense
2024-01-04,Entertainment,Maintenance,164,Expense
2024-01-04,Groceries,Maintenance,209,Expense
2024-01-04,Education,Snacks,3945,Expense
2024-01-04,Education,New clothes,1267,Expense
2024-01-04,Shopping,Insurance premium,1471,Expense
2024-01-05,Insurance,Snacks,2456,Expense
2024-01-05,Miscellaneous,Insurance premium,2995,Income
2024-01-05,Shopping,New clothes,323,Expense
2024-01-05,Education,Bought items,2138,Income
2024-01-05,Transport,Movie,2879,Income
2024-01-05,Entertainment,Maintenance,1488,Expense
2024-01-05,Insurance,New clothes,1313,Income
2024-01-05,Groceries,Bus fare,2531,Expense
2024-01-05,Healthcare,Online course,3772,Expense
2024-01-05,Education,Maintenance,1264,Expense
2024-01-05,Miscellaneous,Bought items,3796,Expense
2024-01-05,Rent,Bus fare,4544,Expense
2024-01-05,Groceries,Bought items,4129,Expense
2024-01-05,Groceries,Online course,1841,Expense
2024-01-05,Utilities,Online course,2702,Expense
2024-01-05,Groceries,Maintenance,1374,Expense
2024-01-05,Rent,Bought items,3739,Expense
2024-01-05,Insurance,New clothes,4860,Expense
2024-01-05,Healthcare,New clothes,2927,Expense
2024-01-05,Entertainment,Online course,4100,Expense
2024-01-05,Insurance,Maintenance,1767,Expense
2024-01-05,Education,Snacks,4966,Expense
2024-01-05,Rent,Monthly bill,2682,Expense
2024-01-05,Education,Snacks,3733,Expense
2024-01-05,Healthcare,Doctor visit,4843,Expense
2024-01-05,Healthcare,New clothes,2086,Expense
2024-01-05,Entertainment,Insurance premium,2411,Expense
2024-01-05,Entertainment,Monthly bill,4009,Expense
2024-01-05,Healthcare,Movie,1210,Expense
2024-01-05,Groceries,Bus fare,1280,Expense
2024-01-05,Insurance,New clothes,534,Income
2024-01-05,Insurance,Movie,588,Expense
2024-01-05,Groceries,Online course,586,Expense
2024-01-05,Groceries,Insurance premium,2954,Expense
2024-01-05,Groceries,Monthly bill,524,Income
2024-01-05,Education,Snacks,4412,Expense
2024-01-05,Rent,Bus fare,3719,Expense
2024-01-05,Groceries,Movie,189,Expense
2024-01-05,Healthcare,New clothes,371,Expense
2024-01-05,Entertainment,Doctor visit,4008,Expense
2024-01-05,Transport,Online course,2324,Expense
2024-01-05,Education,Bus fare,4468,Income
2024-01-05,Groceries,Insurance premium,2164,Expense
2024-01-05,Education,New clothes,2594,Expense
2024-01-05,Insurance,New clothes,4545,Expense
2024-01-05,Utilities,Insurance premium,1382,Expense
2024-01-05,Education,Movie,1285,Expense
2024-01-05,Utilities,Bus fare,4979,Expense
2024-01-05,Healthcare,Maintenance,4114,Income
2024-01-05,Miscellaneous,Bus fare,4623,Expense
2024-01-05,Utilities,Maintenance,2380,Expense
2024-01-05,Utilities,Snacks,3982,Expense
2024-01-05,Shopping,Movie,4344,Expense
2024-01-05,Education,Bought items,1022,Expense
2024-01-05,Utilities,New clothes,3877,Expense
2024-01-06,Utilities,Maintenance,4130,Income
2024-01-06,Utilities,Bus fare,730,Expense
2024-01-06,Healthcare,Movie,2050,Expense
2024-01-06,Healthcare,New clothes,2590,Expense
2024-01-06,Groceries,New clothes,2992,Expense
2024-01-06,Miscellaneous,Bus fare,3729,Expense
2024-01-06,Transport,Monthly bill,4157,Income
2024-01-06,Miscellaneous,Snacks,130,Income
2024-01-06,Healthcare,Doctor visit,957,Expense
2024-01-06,Insurance,Online course,4881,Income
2024-01-06,Entertainment,Bus fare,2055,Expense
2024-01-06,Shopping,Bought items,3865,Income
2024-01-06,Education,Monthly bill,3102,Income
2024-01-06,Shopping,New clothes,628,Expense
2024-01-06,Insurance,Doctor visit,2248,Expense
2024-01-06,Groceries,Maintenance,679,Income
2024-01-06,Groceries,Movie,4159,Income
2024-01-06,Utilities,Monthly bill,2664,Income
2024-01-06,Insurance,Online course,3174,Expense
2024-01-06,Miscellaneous,Monthly bill,4997,Expense
2024-01-06,Utilities,Bought items,973,Expense
2024-01-06,Education,Monthly bill,3257,Expense
2024-01-06,Healthcare,Monthly bill,3172,Expense
2024-01-06,Miscellaneous,Insurance premium,2077,Expense
2024-01-06,Miscellaneous,Maintenance,2161,Expense
2024-01-06,Rent,Snacks,3195,Expense
2024-01-06,Education,Bus fare,2004,Expense
2024-01-06,Shopping,Monthly bill,693,Expense
2024-01-06,Entertainment,Insurance premium,3156,Expense
2024-01-06,Transport,Bus fare,3504,Expense
2024-01-06,Groceries,Monthly bill,3977,Income
2024-01-06,Groceries,Bus fare,3439,Expense
2024-01-06,Groceries,Doctor visit,1082,Expense
2024-01-06,Insurance,Bus fare,287,Expense
2024-01-06,Rent,New clothes,2086,Expense
2024-01-06,Utilities,Snacks,3148,Expense
2024-01-06,Entertainment,Doctor visit,3842,Expense
2024-01-06,Insurance,Maintenance,3236,Expense
2024-01-06,Healthcare,Online course,977,Expense
2024-01-06,Education,Doctor visit,957,Expense
2024-01-07,Shopping,New clothes,4770,Expense
2024-01-07,Healthcare,Online course,4126,Expense
2024-01-07,Utilities,Online course,1250,Expense
2024-01-07,Entertainment,New clothes,4274,Expense
2024-01-07,Entertainment,Maintenance,3819,Expense
2024-01-07,Rent,Bus fare,3394,Expense
2024-01-07,Education,Doctor visit,3549,Expense
2024-01-07,Healthcare,Snacks,3264,Expense
2024-01-07,Utilities,Insurance premium,3006,Expense
2024-01-07,Groceries,Maintenance,4101,Expense
2024-01-07,Rent,New clothes,1062,Expense
2024-01-07,Healthcare,Snacks,4685,Expense
2024-01-07,Insurance,New clothes,3892,Expense
2024-01-07,Miscellaneous,Monthly bill,2941,Expense
2024-01-07,Healthcare,Maintenance,3366,Expense
2024-01-07,Utilities,Movie,816,Expense
2024-01-07,Groceries,Doctor visit,4605,Expense
2024-01-07,Miscellaneous,Online course,3443,Expense
2024-01-07,Groceries,New clothes,4577,Expense
2024-01-07,Groceries,New clothes,2733,Expense
2024-01-07,Healthcare,Online course,1942,Expense
2024-01-07,Education,Bus fare,3042,Expense
2024-01-07,Healthcare,Bought items,4912,Expense
2024-01-07,Insurance,New clothes,637,Expense
2024-01-07,Shopping,Bought items,3624,Expense
2024-01-07,Insurance,Snacks,1634,Expense
2024-01-07,Rent,Online course,1503,Expense
2024-01-07,Entertainment,Bought items,4408,Income
2024-01-07,Rent,Snacks,3338,Income
2024-01-07,Shopping,Insurance premium,1176,Income
2024-01-07,Shopping,Snacks,4774,Expense
2024-01-07,Rent,Insurance premium,4278,Expense
2024-01-07,Utilities,Bought items,2954,Expense
2024-01-07,Education,Movie,2697,Income
2024-01-07,Utilities,Monthly bill,1251,Income
2024-01-07,Healthcare,New clothes,3737,Expense
2024-01-07,Rent,Maintenance,1085,Expense
2024-01-07,Healthcare,Movie,549,Income
2024-01-07,Education,Maintenance,2014,Expense
2024-01-07,Healthcare,Monthly bill,3697,Expense
2024-01-07,Shopping,Movie,797,Expense
2024-01-07,Utilities,Bus fare,4678,Expense
2024-01-07,Transport,Movie,2609,Expense
2024-01-07,Healthcare,Insurance premium,2997,Expense
2024-01-08,Insurance,Monthly bill,2511,Expense
2024-01-08,Shopping,Bought items,826,Income
2024-01-08,Shopping,Monthly bill,3337,Income
2024-01-08,Transport,Bought items,4513,Expense
2024-01-08,Education,Insurance premium,1737,Expense
2024-01-08,Miscellaneous,Maintenance,4722,Expense
2024-01-08,Groceries,Insurance premium,528,Expense
2024-01-08,Shopping,Insurance premium,4842,Expense
2024-01-08,Healthcare,Monthly bill,4435,Expense
2024-01-08,Miscellaneous,Doctor visit,3192,Expense
2024-01-08,Education,Bought items,4380,Expense
2024-01-08,Transport,Monthly bill,3897,Expense
2024-01-08,Healthcare,Insurance premium,4735,Income
2024-01-08,Entertainment,Snacks,2760,Expense
2024-01-08,Miscellaneous,New clothes,3542,Expense
2024-01-08,Transport,Insurance premium,1074,Income
2024-01-08,Healthcare,Monthly bill,3955,Income
2024-01-08,Entertainment,Bought items,4742,Expense
2024-01-08,Utilities,Doctor visit,479,Expense
2024-01-08,Groceries,Monthly bill,2977,Expense
2024-01-08,Education,Insurance premium,2158,Expense
2024-01-08,Utilities,Maintenance,1074,Expense
2024-01-08,Rent,Maintenance,127,Expense
2024-01-08,Healthcare,Insurance premium,1185,Expense
2024-01-08,Miscellaneous,Monthly bill,610,Expense
2024-01-08,Education,Insurance premium,3486,Income
2024-01-08,Healthcare,Bus fare,822,Expense
2024-01-08,Miscellaneous,Online course,1245,Expense
2024-01-08,Utilities,Online course,1743,Expense
2024-01-08,Healthcare,Bus fare,3422,Expense
2024-01-08,Utilities,Monthly bill,3193,Expense
2024-01-08,Insurance,Doctor visit,3288,Expense
2024-01-08,Utilities,Bus fare,502,Expense
2024-01-08,Shopping,Bus fare,4689,Income
2024-01-08,Entertainment,Online course,4555,Expense
2024-01-08,Education,Bought items,1119,Expense
2024-01-08,Groceries,Online course,4624,Expense
2024-01-08,Education,Snacks,3936,Expense
2024-01-08,Transport,Monthly bill,3160,Expense
2024-01-08,Healthcare,Insurance premium,4546,Expense
2024-01-08,Education,Maintenance,1979,Expense
2024-01-08,Shopping,Doctor visit,3604,Expense
2024-01-09,Entertainment,Movie,1920,Expense
2024-01-09,Education,New clothes,4506,Expense
2024-01-09,Education,Monthly bill,2390,Expense
2024-01-09,Shopping,New clothes,2560,Expense
2024-01-09,Utilities,Maintenance,3224,Expense
2024-01-09,Transport,Doctor visit,3904,Expense
2024-01-09,Healthcare,Movie,2772,Expense
2024-01-09,Healthcare,Insurance premium,3311,Expense
2024-01-09,Education,Movie,991,Expense
2024-01-09,Utilities,Online course,2068,Expense
2024-01-09,Miscellaneous,Monthly bill,4440,Expense
2024-01-09,Shopping,Monthly bill,2879,Expense
2024-01-09,Healthcare,Insurance premium,3451,Income
2024-01-09,Miscellaneous,New clothes,1976,Expense
2024-01-09,Utilities,Movie,2135,Expense
2024-01-09,Transport,Maintenance,1157,Expense
2024-01-09,Miscellaneous,Maintenance,3816,Expense
2024-01-09,Shopping,Doctor visit,3969,Expense
2024-01-09,Transport,Online course,2676,Expense
2024-01-09,Groceries,Snacks,3034,Expense
2024-01-09,Insurance,Insurance premium,4302,Expense
2024-01-09,Miscellaneous,Snacks,3992,Expense
2024-01-09,Groceries,Doctor visit,1659,Income
2024-01-09,Transport,Movie,4127,Expense
2024-01-09,Shopping,Bus fare,4357,Expense
2024-01-09,Shopping,Doctor visit,3463,Expense
2024-01-09,Utilities,Maintenance,1457,Expense
2024-01-09,Education,Bought items,2613,Expense
2024-01-09,Education,Online course,3009,Expense
2024-01-09,Education,Insurance premium,3705,Expense
2024-01-09,Shopping,Online course,4306,Expense
2024-01-09,Rent,Snacks,2058,Expense
2024-01-09,Utilities,Insurance premium,2919,Expense
2024-01-09,Transport,Snacks,2745,Expense
2024-01-09,Miscellaneous,Snacks,672,Expense
2024-01-09,Transport,Bus fare,1182,Expense
2024-01-09,Groceries,Insurance premium,3780,Income
2024-01-09,Transport,Insurance premium,3653,Expense
2024-01-09,Rent,Movie,3953,Income
2024-01-09,Insurance,Online course,733,Expense
2024-01-09,Miscellaneous,Insurance premium,441,Expense
2024-01-09,Groceries,Maintenance,1801,Expense
2024-01-09,Miscellaneous,Movie,4205,Expense
2024-01-09,Healthcare,Movie,4122,Expense
2024-01-09,Rent,Monthly bill,3494,Expense
2024-01-09,Rent,Bus fare,2236,Expense
2024-01-09,Rent,Insurance premium,1430,Expense
2024-01-09,Shopping,Bought items,3738,Expense
2024-01-10,Entertainment,Snacks,4907,Expense
2024-01-10,Shopping,New clothes,506,Expense
2024-01-10,Miscellaneous,Monthly bill,326,Expense
2024-01-10,Utilities,Bought items,2097,Expense
2024-01-10,Entertainment,New clothes,4887,Expense
2024-01-10,Insurance,Bus fare,2624,Expense
2024-01-10,Insurance,Snacks,3128,Expense
2024-01-10,Utilities,Snacks,2563,Expense
2024-01-10,Shopping,New clothes,1975,Expense
2024-01-10,Entertainment,Bus fare,1456,Expense
2024-01-10,Entertainment,Bought items,2625,Expense
2024-01-10,Healthcare,Snacks,669,Income
2024-01-10,Healthcare,Monthly bill,403,Expense
2024-01-10,Insurance,Insurance premium,4014,Expense
2024-01-10,Education,Bus fare,3376,Expense
2024-01-10,Shopping,Movie,398,Expense
2024-01-10,Entertainment,Monthly bill,3047,Expense
2024-01-10,Insurance,Monthly bill,701,Expense
2024-01-10,Groceries,Bus fare,2554,Expense
2024-01-10,Shopping,Snacks,3501,Expense
2024-01-10,Miscellaneous,Insurance premium,3139,Income
2024-01-10,Miscellaneous,Bought items,2501,Expense
2024-01-10,Shopping,Bought items,1904,Expense
2024-01-10,Healthcare,Monthly bill,1258,Expense
2024-01-10,Entertainment,Insurance premium,3954,Expense
2024-01-10,Education,Movie,3506,Income
2024-01-10,Miscellaneous,Doctor visit,1515,Expense
2024-01-10,Insurance,Maintenance,579,Income
2024-01-10,Groceries,Monthly bill,3197,Income
2024-01-10,Rent,Insurance premium,138,Expense
2024-01-10,Groceries,Monthly bill,3928,Expense
2024-01-10,Insurance,New clothes,2007,Expense
2024-01-10,Groceries,Snacks,1597,Expense
2024-01-10,Groceries,Bus fare,665,Expense
2024-01-10,Miscellaneous,Maintenance,3018,Expense
2024-01-10,Utilities,Online course,3448,Expense
2024-01-10,Transport,Maintenance,2987,Expense
2024-01-10,Shopping,New clothes,1653,Expense
2024-01-10,Insurance,Doctor visit,198,Expense
2024-01-10,Insurance,New clothes,3783,Expense
2024-01-10,Rent,Doctor visit,1639,Expense
2024-01-10,Entertainment,Insurance premium,174,Income
2024-01-10,Utilities,New clothes,2938,Expense
2024-01-10,Groceries,Bus fare,3134,Expense
2024-01-10,Entertainment,Snacks,3977,Expense
2024-01-10,Rent,Bus fare,1863,Expense
2024-01-10,Shopping,Doctor visit,559,Expense
2024-01-10,Education,Insurance premium,153,Expense
2024-01-10,Shopping,New clothes,4918,Expense
2024-01-10,Insurance,Bought items,2474,Expense
2024-01-10,Groceries,Maintenance,2393,Expense
2024-01-10,Miscellaneous,Insurance premium,4356,Income
2024-01-10,Groceries,Bought items,1524,Expense
2024-01-10,Utilities,Bus fare,3359,Expense
2024-01-11,Groceries,Doctor visit,962,Expense
2024-01-11,Utilities,Bus fare,2105,Expense
2024-01-11,Shopping,Monthly bill,4374,Expense
2024-01-11,Shopping,Monthly bill,3370,Income
2024-01-11,Rent,Online course,4092,Income
2024-01-11,Shopping,Movie,1506,Expense
2024-01-11,Rent,Bought items,4846,Expense
2024-01-11,Groceries,Bus fare,2593,Income
2024-01-11,Rent,Bus fare,1453,Expense
2024-01-11,Groceries,Insurance premium,1615,Expense
2024-01-11,Groceries,Bus fare,3564,Expense
2024-01-11,Shopping,New clothes,3538,Income
2024-01-11,Shopping,Maintenance,4785,Expense
2024-01-11,Healthcare,Monthly bill,3189,Expense
2024-01-11,Groceries,Movie,395,Expense
2024-01-11,Shopping,Bought items,1116,Income
2024-01-11,Miscellaneous,Movie,1972,Income
2024-01-11,Insurance,New clothes,1076,Expense
2024-01-11,Insurance,Doctor visit,4200,Income
2024-01-11,Education,Monthly bill,1884,Expense
2024-01-11,Miscellaneous,Monthly bill,769,Income
2024-01-11,Entertainment,Movie,3188,Expense
2024-01-11,Healthcare,Monthly bill,698,Expense
2024-01-11,Healthcare,Bought items,3700,Expense
2024-01-11,Entertainment,New clothes,2804,Expense
2024-01-11,Healthcare,Bought items,1038,Expense
2024-01-11,Miscellaneous,Snacks,2117,Expense
2024-01-11,Utilities,Online course,4510,Expense
2024-01-11,Healthcare,Bus fare,2203,Expense
2024-01-11,Healthcare,Bus fare,1259,Expense
2024-01-11,Shopping,New clothes,985,Expense
2024-01-11,Transport,Snacks,4713,Income
2024-01-11,Healthcare,New clothes,4033,Expense
2024-01-11,Rent,Movie,700,Income
2024-01-11,Miscellaneous,Doctor visit,909,Income
2024-01-11,Education,Online course,4903,Expense
2024-01-11,Healthcare,Snacks,1116,Expense
2024-01-11,Utilities,Monthly bill,1705,Expense
2024-01-11,Healthcare,Movie,4826,Expense
2024-01-11,Rent,Doctor visit,741,Expense
2024-01-11,Shopping,Bought items,3532,Income
2024-01-11,Groceries,New clothes,656,Expense
2024-01-11,Transport,Bought items,1717,Expense
2024-01-11,Education,Movie,4499,Expense
2024-01-11,Groceries,Monthly bill,2256,Expense
2024-01-11,Entertainment,Snacks,4622,Expense
2024-01-11,Miscellaneous,Movie,2732,Expense
2024-01-11,Healthcare,New clothes,4669,Expense
2024-01-11,Utilities,Monthly bill,4599,Expense
2024-01-11,Transport,Movie,4958,Expense
2024-01-11,Entertainment,Bus fare,4136,Expense
2024-01-11,Shopping,Online course,2706,Expense
2024-01-11,Entertainment,Online course,291,Expense
2024-01-11,Rent,Online course,4178,Expense
2024-01-11,Transport,Monthly bill,1191,Expense
2024-01-11,Transport,Online course,2156,Income
2024-01-12,Healthcare,Bus fare,2938,Expense
2024-01-12,Education,Monthly bill,1680,Expense
2024-01-12,Utilities,Insurance premium,2563,Expense
2024-01-12,Shopping,New clothes,3524,Expense
2024-01-12,Rent,Maintenance,1441,Income
2024-01-12,Miscellaneous,Maintenance,4085,Expense
2024-01-12,Insurance,New clothes,4431,Expense
2024-01-12,Healthcare,Insurance premium,944,Income
2024-01-12,Miscellaneous,Snacks,2931,Expense
2024-01-12,Transport,New clothes,1935,Expense
2024-01-12,Groceries,Snacks,3442,Expense
2024-01-12,Miscellaneous,Monthly bill,2646,Expense
2024-01-12,Groceries,Monthly bill,4615,Income
2024-01-12,Entertainment,Movie,407,Expense
2024-01-12,Transport,Monthly bill,1540,Expense
2024-01-12,Shopping,Bought items,4637,Expense
